City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
bruxelles,ALL,60,344,1916,1560,302,205.401,205.401,0,10,6378.17,,,,,,,,,,,,,,,,,
bruxelles,SEQ,70,344,1916,1560,302,214.063,214.063,0,6,7928.53,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,70,344,1916,1560,302,202.865,202.865,0,9,8009.3,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,70,344,1916,1560,302,199.767,199.767,0,10,7686.47,,,,,,,,,,,,,,,,,
bruxelles,ALL,70,344,1916,1560,302,207.552,207.552,0,10,8679.52,,,,,,,,,,,,,,,,,
bruxelles,SEQ,80,344,1916,1560,302,218.338,218.338,0,6,8441.28,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,80,344,1916,1560,302,203.504,203.504,0,11,6626.59,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,80,344,1916,1560,302,208.314,208.314,0,10,8403.17,,,,,,,,,,,,,,,,,
bruxelles,ALL,80,344,1916,1560,302,203.758,203.758,0,10,8822.2,,,,,,,,,,,,,,,,,
bruxelles,SEQ,90,344,1916,1560,302,207.806,207.806,0,6,7755.63,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,90,344,1916,1560,302,209.042,209.042,0,10,6448.69,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,90,344,1916,1560,302,210.695,210.695,0,11,7137.97,,,,,,,,,,,,,,,,,
bruxelles,ALL,90,344,1916,1560,302,206.439,206.439,0,10,7792.64,,,,,,,,,,,,,,,,,
bruxelles,SEQ,100,344,1916,1560,302,223.277,223.277,0,6,7783.47,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG2,100,344,1916,1560,302,204.689,204.689,0,10,6512.27,,,,,,,,,,,,,,,,,
bruxelles,SEQ+REG3,100,344,1916,1560,302,206.577,206.577,0,11,7072.18,,,,,,,,,,,,,,,,,
bruxelles,ALL,100,344,1916,1560,302,207.559,207.559,0,10,8133.75,,,,,,,,,,,,,,,,,
chicago,SEQ,50,1842,3766,2324,427,1602.11,1602.11,0,46,5186.06,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,50,1842,3766,2324,427,1599.9,1599.9,0,45,5695.23,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,50,1842,3766,2324,427,1628.37,1628.37,0,46,8684.5,,,,,,,,,,,,,,,,,
chicago,ALL,50,1842,3766,2324,427,1623.57,1623.57,0,45,7697.39,,,,,,,,,,,,,,,,,
chicago,SEQ,60,1842,3766,2324,427,1210.53,1210.53,0,33,11364.37,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,60,1842,3766,2324,427,1225.64,1225.64,0,32,14926.45,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,60,1842,3766,2324,427,1267.33,1267.33,0,34,15760.24,,,,,,,,,,,,,,,,,
chicago,ALL,60,1842,3766,2324,427,1232.63,1232.63,0,32,16008.82,,,,,,,,,,,,,,,,,
chicago,SEQ,70,1842,3766,2324,427,1136.31,1136.31,0,30,12648.78,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,70,1842,3766,2324,427,1127.99,1127.99,0,30,16789.99,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,70,1842,3766,2324,427,1145.45,1145.45,0,30,19785.31,,,,,,,,,,,,,,,,,
chicago,ALL,70,1842,3766,2324,427,1092.35,1092.35,0,29,18751.26,,,,,,,,,,,,,,,,,
chicago,SEQ,80,1842,3766,2324,427,1066.62,1066.62,0,28,15384.42,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,80,1842,3766,2324,427,1130.5,1130.5,0,31,17176.93,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,80,1842,3766,2324,427,1100.09,1100.09,0,30,21406.78,,,,,,,,,,,,,,,,,
chicago,ALL,80,1842,3766,2324,427,1103.98,1103.98,0,29,22398.14,,,,,,,,,,,,,,,,,
chicago,SEQ,90,1842,3766,2324,427,1061.64,1061.64,0,28,15451.68,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,90,1842,3766,2324,427,1142.04,1142.04,0,31,18291.72,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,90,1842,3766,2324,427,1059.49,1059.49,0,27,25868,,,,,,,,,,,,,,,,,
chicago,ALL,90,1842,3766,2324,427,1127.41,1127.41,0,29,26142.73,,,,,,,,,,,,,,,,,
chicago,SEQ,100,1842,3766,2324,427,1083.94,1083.94,0,27,15845.11,,,,,,,,,,,,,,,,,
chicago,SEQ+REG2,100,1842,3766,2324,427,1080.09,1080.09,0,27,18754.92,,,,,,,,,,,,,,,,,
chicago,SEQ+REG3,100,1842,3766,2324,427,1100.13,1100.13,0,28,24893.44,,,,,,,,,,,,,,,,,
chicago,ALL,100,1842,3766,2324,427,1175.51,1175.51,0,30,20174.16,,,,,,,,,,,,,,,,,
madrid,SEQ,50,606,0,5363,1026,488.261,485.261,3,19,8764.57,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,50,606,0,5363,1026,482.041,482.041,0,21,13045.72,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,50,606,0,5363,1026,489.532,489.532,0,19,18747.37,,,,,,,,,,,,,,,,,
madrid,ALL,50,606,0,5363,1026,487.342,487.342,0,21,16701.94,,,,,,,,,,,,,,,,,
madrid,SEQ,60,606,0,5363,1026,478.161,474.161,4,19,8994.58,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,60,606,0,5363,1026,482.871,482.871,0,20,15610.11,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,60,606,0,5363,1026,489.498,489.498,0,20,17989.43,,,,,,,,,,,,,,,,,
madrid,ALL,60,606,0,5363,1026,488.15,488.15,0,22,19247.62,,,,,,,,,,,,,,,,,
madrid,SEQ,70,606,0,5363,1026,498.583,462.583,36,16,10913.13,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,70,606,0,5363,1026,479.179,479.179,0,21,14779.64,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,70,606,0,5363,1026,488.123,488.123,0,19,18518.72,,,,,,,,,,,,,,,,,
madrid,ALL,70,606,0,5363,1026,485.401,485.401,0,20,17809.71,,,,,,,,,,,,,,,,,
madrid,SEQ,80,606,0,5363,1026,489.332,460.332,29,16,11980.68,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,80,606,0,5363,1026,493.588,493.588,0,21,14573.15,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,80,606,0,5363,1026,491.335,491.335,0,20,19519.21,,,,,,,,,,,,,,,,,
