City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,55,606,0,5363,1026,497.176,497.176,0,20,18386.22,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,55,606,0,5363,1026,485.98,485.98,0,20,15488.88,,,,,,,,,,,,,,,,,
madrid,ALL,55,606,0,5363,1026,495.223,495.223,0,21,19537.71,,,,,,,,,,,,,,,,,
madrid,SEQ,60,606,0,5363,1026,478.161,474.161,4,19,8994.58,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,60,606,0,5363,1026,489.498,489.498,0,20,17989.43,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,60,606,0,5363,1026,482.871,482.871,0,20,15610.11,,,,,,,,,,,,,,,,,
madrid,ALL,60,606,0,5363,1026,488.15,488.15,0,22,19247.62,,,,,,,,,,,,,,,,,
madrid,SEQ,65,606,0,5363,1026,507.673,455.673,52,16,9043.19,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,65,606,0,5363,1026,485.149,485.149,0,21,22046.87,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,65,606,0,5363,1026,487.443,487.443,0,20,14943.81,,,,,,,,,,,,,,,,,
madrid,ALL,65,606,0,5363,1026,486.775,486.775,0,21,19243.41,,,,,,,,,,,,,,,,,
madrid,SEQ,70,606,0,5363,1026,498.583,462.583,36,16,10913.13,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,70,606,0,5363,1026,488.123,488.123,0,19,18518.72,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,70,606,0,5363,1026,479.179,479.179,0,21,14779.64,,,,,,,,,,,,,,,,,
madrid,ALL,70,606,0,5363,1026,485.401,485.401,0,20,17809.71,,,,,,,,,,,,,,,,,
madrid,SEQ,75,606,0,5363,1026,492.559,452.559,40,16,10445.65,,,,,,,,,,,,,,,,,
madrid,SEQ+REG3,75,606,0,5363,1026,487.542,487.542,0,21,17574.65,,,,,,,,,,,,,,,,,
madrid,SEQ+REG2,75,606,0,5363,1026,489.818,489.818,0,20,15682.97,,,,,,,,,,,,,,,,,
madrid,ALL,75,606,0,5363,1026,478.426,478.426,0,22,16994.32,,,,,,,,,,,,,,,,,
newyork,SEQ,50,2237,21386,13298,2527,4298.42,2027.42,2271,50,9931.47,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,50,2237,21386,13298,2527,4138.15,2345.15,1793,50,14768.19,,,,,,,,,,,,,,,,,
newyork,SEQ+REG2,50,2237,21386,13298,2527,4181.09,2302.09,1879,50,11106.84,,,,,,,,,,,,,,,,,
newyork,ALL,50,2237,21386,13298,2527,4167.91,2374.91,1793,50,13861.41,,,,,,,,,,,,,,,,,
newyork,SEQ,55,2237,21386,13298,2527,4514.65,1938.65,2576,50,12058.46,,,,,,,,,,,,,,,,,
newyork,SEQ+REG3,55,2237,21386,13298,2527,4515.63,2389.63,2126,50,18122.65,,,,,,,,,,,,,,,,,
